16 24 0 2777 563 0 8
4 9 7.302476
1 19 4.075535
24 26 2.536828
4 4 9.235483
36 28 0.005662
13 9 5.594658
30 20 8.500891
31 45 4.812514
16 18 2.274983
37 38 3.893989
17 29 8.557206
46 22 3.305155
47 23 6.817593
4 24 7.737088
34 42 2.639097
26 49 7.375883
0 9 0.317346 64.014811
0 5 18.735635 17.080688
0 3 19.655513 9.756882
1 13 19.725784 7.954869
1 5 7.249783 31.220314
2 6 8.456746 8.815945
2 3 13.948150 56.258778
3 5 12.448702 18.880237
4 14 1.749870 15.626509
4 12 2.110544 18.680189
6 12 7.921450 28.430925
6 7 17.489151 39.701187
7 15 8.849983 11.432595
7 13 9.344615 41.216422
7 12 9.377657 33.084433
7 9 13.466995 11.107883
8 15 2.053466 48.362759
8 13 8.722529 21.602181
8 10 19.487605 11.989176
8 9 1.682496 41.250054
9 15 9.227694 20.796807
9 14 4.581138 7.534811
11 12 6.815456 1.638780
14 15 5.275065 19.681630
