14 16 0 44638 706 0 8
41 44 6.326831
22 21 8.411709
14 31 0.119332
37 19 3.930165
6 33 9.117516
21 10 7.813293
24 10 1.579865
34 4 6.437981
33 8 2.070309
47 38 8.786714
2 43 6.577376
35 20 0.247001
4 44 1.248660
4 46 4.382237
0 4 4.150151 72.221941
1 4 4.276820 23.999715
2 12 19.107893 19.389457
2 4 9.601267 15.522971
3 11 14.904562 2.904326
3 9 5.477929 30.630458
4 11 15.765818 33.533902
5 11 11.983275 33.591385
5 6 11.702854 5.547797
6 11 17.223976 21.412113
6 9 7.041723 71.679276
7 11 2.722916 26.331728
7 8 16.991178 8.229242
10 13 13.072436 3.658975
10 12 2.793663 4.190971
12 13 16.856196 2.183691
