12 14 0 10237 366 0 8
18 0 7.665530
42 24 5.340723
32 7 0.654062
34 32 9.286794
2 23 5.431583
41 11 9.800046
11 4 1.005922
12 12 5.247454
38 34 9.119809
41 17 7.327159
39 18 0.703677
42 42 2.934959
0 8 9.964164 77.180563
1 10 1.143143 12.913661
1 3 13.086881 18.469606
1 2 0.803218 36.744889
2 5 8.234122 14.855247
3 11 4.924194 17.278957
3 10 5.518208 16.718308
4 7 7.531853 26.937680
5 9 13.363182 7.543605
6 11 0.476409 65.191746
6 10 7.894863 37.635794
7 9 14.907793 57.457927
8 11 1.061840 12.296118
9 10 5.734573 2.840108
