18 25 1 31185 448 0 10
41 8 0.953960
27 17 8.403642
13 27 12.992689
42 11 19.193822
48 2 1.422493
7 5 15.470676
22 5 18.075399
39 14 6.084373
33 41 12.955539
45 39 13.804222
11 40 3.555561
40 26 0.474820
43 2 7.949763
31 24 7.662365
39 48 16.269608
27 1 10.486494
23 33 12.907533
12 39 16.909838
0 15 17.506214 19.030593
0 12 43.981954 10.414606
0 4 44.200998 17.440964
0 3 49.652235 4.223812
1 13 27.458326 12.327475
1 5 14.844171 24.935294
1 4 5.839493 32.062432
2 17 44.601423 20.676207
2 10 39.409508 14.158896
2 8 49.012545 40.661557
2 4 15.666962 46.986281
3 7 13.509344 7.087170
4 12 3.397506 6.685401
4 8 7.528031 69.083627
6 15 14.934090 10.195533
6 13 40.404740 41.964601
7 16 32.137319 40.955493
8 16 27.027210 21.613540
8 13 1.171032 26.134030
8 11 2.790070 25.385413
9 14 30.134039 17.010131
9 11 40.749058 18.840719
10 17 3.487517 2.431699
10 16 39.797581 23.714536
11 13 18.628594 17.129365
