10 16 0 31934 2539 0 10
13 31 3.983788
30 28 9.163397
22 23 9.869594
35 16 7.955353
0 19 18.147098
8 0 2.780316
23 35 9.312939
21 8 1.661281
29 14 5.177093
29 32 7.755408
0 9 0.631641 24.825534
0 2 33.781630 17.551330
1 9 41.852554 5.794341
1 8 46.329807 17.993297
1 6 17.499347 12.179644
2 8 46.661531 16.624368
2 7 16.928215 27.185918
2 6 45.370664 21.903851
3 8 1.764489 9.833573
3 6 30.102791 32.005664
4 9 31.171139 32.803148
5 8 26.282913 26.758886
5 7 48.379028 15.587795
6 9 24.341869 11.166973
7 9 46.176435 26.579439
7 8 29.960941 18.746078
