17 22 1 36562 2247 0 10
31 19 4.917529
24 47 11.274030
8 34 13.998164
22 32 10.142244
7 13 1.485980
16 49 17.088793
30 2 11.038532
34 18 0.501496
33 45 12.769092
41 0 2.621660
11 30 14.834082
19 29 14.709799
33 27 9.886738
29 22 4.526323
34 37 16.925485
38 11 6.904202
6 23 10.207646
0 13 17.405326 6.292824
0 7 30.973464 4.604980
0 3 46.497313 27.392883
1 8 19.792417 9.817100
1 3 47.722627 20.080250
2 13 21.177801 39.561302
2 4 21.697450 21.531730
3 14 29.393074 21.702622
4 15 8.827235 35.222649
4 11 49.414841 33.243210
4 10 34.361765 30.186453
5 16 42.977714 45.316051
5 15 18.112068 62.743296
6 10 32.762778 45.812765
7 13 34.955063 7.738276
7 11 47.691553 21.682118
9 12 31.093024 29.489639
10 16 38.984292 13.534041
10 11 31.905718 12.511066
11 16 43.937349 16.831088
12 15 40.559636 26.696286
12 14 30.836342 13.087983
