19 20 0 1464 413 0 10
9 29 12.687204
1 5 3.016355
4 16 17.621657
29 49 17.135012
43 37 5.287154
14 32 3.241010
11 15 15.014089
35 23 1.569295
18 13 11.609650
14 20 11.132855
41 21 17.780346
36 19 11.074470
49 25 0.987404
20 11 14.453391
36 25 5.506696
44 20 7.157992
49 12 10.167354
26 5 15.206058
29 39 4.136350
0 11 3.424138 37.967622
1 9 3.010488 21.171807
1 3 32.122662 78.686012
2 15 0.249304 53.786265
2 8 11.515367 26.249160
2 5 19.332231 34.139652
3 5 48.010786 42.274938
4 14 36.070908 17.611833
6 13 21.488900 12.060649
6 8 15.151907 10.717214
7 16 1.438269 17.987177
7 11 28.199202 4.914970
10 18 45.736249 23.323638
10 17 21.801759 40.339412
10 15 29.981087 4.500214
10 12 37.088137 14.694121
11 14 35.473645 10.008627
12 15 8.841995 12.741870
12 14 6.997792 17.575040
13 16 9.262348 34.293324
