13 14 0 40532 353 0 15
36 30 19.520264
28 4 15.421502
28 24 10.896313
31 18 18.686561
4 43 2.897383
8 10 18.534910
15 3 0.523413
32 22 1.984926
1 22 1.194731
33 36 0.282930
46 11 3.020022
27 32 6.936650
28 16 14.644398
0 12 24.301098 26.222914
0 9 18.162294 8.570560
1 8 40.054172 50.059791
1 5 40.218281 41.664972
2 12 49.943606 8.017584
3 12 39.169655 4.171263
3 9 20.624170 35.656608
3 7 24.749548 7.970846
3 4 21.706924 47.233183
4 8 2.734964 31.204711
5 7 20.266611 53.100912
6 7 45.284984 30.583114
8 11 14.940735 39.877056
10 12 22.282469 36.717379
