15 15 0 12211 307 0 12
3 16 9.622533
20 16 3.191167
3 17 6.199844
9 13 6.612337
14 10 2.289743
3 15 2.914303
23 18 9.651963
5 7 6.544204
11 6 7.472260
9 24 5.998675
19 19 4.103692
22 8 7.307143
12 17 9.087317
4 0 1.627863
12 19 6.186864
0 5 33.903620 1.270700
1 8 21.996034 16.029495
1 2 6.913378 31.215700
2 5 0.649992 3.196503
3 11 0.734428 15.593388
3 5 14.665176 9.267646
4 9 6.656498 17.394458
4 7 3.316625 12.263977
6 11 24.474137 11.342950
7 14 31.595979 23.657443
7 8 39.773213 11.197318
8 14 19.809928 22.883649
8 13 14.198531 16.056356
10 14 18.890822 13.339322
12 14 2.736147 2.527390
