20 28
6 8 92.009386
13 9 69.719146
10 10 89.154961
11 5 89.922002
16 8 95.582368
17 18 59.877568
17 19 66.761138
6 2 88.411480
7 3 63.888736
4 14 77.698498
14 2 73.869853
16 19 81.443546
5 4 68.239224
16 1 75.670046
10 18 97.611486
11 9 95.809753
11 7 81.785586
9 2 85.864846
3 11 57.080128
14 4 80.348444
0 14 50.815029 10.770330
0 12 62.144339 4.123106
1 19 56.861579 5.099020
1 10 90.208838 7.071068
1 4 57.833954 3.162278
2 18 70.047220 7.071068
2 11 56.489522 10.816654
3 19 55.440440 3.162278
3 9 99.946226 11.401754
4 17 60.912845 9.219544
4 15 75.646620 5.099020
4 11 91.955612 11.000000
4 10 80.631992 6.324555
4 8 64.801581 10.295630
4 7 81.877613 11.661904
5 11 76.214360 1.414214
5 6 74.679149 1.000000
6 11 98.638751 1.000000
8 16 64.625839 5.656854
8 12 88.567885 2.236068
9 18 76.337249 3.162278
10 13 88.495692 2.236068
10 12 70.011431 9.219544
11 16 94.576473 13.000000
11 14 64.165737 6.082763
12 17 67.622917 4.472136
15 19 90.386226 5.830952
15 18 95.951324 8.246211
