50 123
8 17 81.489891
24 19 94.774295
12 9 55.287664
18 9 52.355272
22 6 72.104125
24 1 73.689513
14 11 67.466330
5 8 76.790134
10 2 96.733339
18 15 89.582384
9 24 72.530915
14 1 90.840714
3 11 71.239039
4 6 56.789693
7 3 58.557279
19 23 68.014763
9 23 66.767601
24 20 69.126264
8 12 71.660481
23 22 79.526608
5 18 53.325594
19 22 83.276747
15 9 89.503036
3 5 87.281274
5 0 94.099664
9 10 70.636617
0 7 78.482933
9 6 66.083973
11 10 83.654084
14 6 69.244120
24 14 94.724759
19 3 65.143974
5 19 64.018416
19 16 50.012423
6 9 67.499246
8 0 86.122541
7 5 73.701936
20 19 84.965576
6 0 62.912675
6 12 70.435275
5 4 74.547959
13 17 85.443591
24 3 61.275989
6 22 95.786999
17 14 92.233284
0 24 69.833268
8 2 63.801761
4 20 59.000885
20 1 88.959532
5 17 85.462243
0 47 88.527493 5.000000
0 37 92.285126 12.165525
0 34 68.738990 8.246211
1 19 78.030529 3.162278
1 15 79.566400 6.403124
1 6 62.838654 12.806248
2 48 98.667146 11.313708
2 36 58.049333 6.403124
2 21 78.922628 14.764823
2 9 82.321229 8.485281
2 6 77.293454 2.828427
2 3 73.647386 6.000000
3 35 97.465204 13.453624
3 23 91.311869 15.524175
3 22 73.659809 3.000000
3 14 64.964450 12.529964
3 12 77.434410 15.132746
3 6 97.361745 4.472136
4 48 99.930026 5.385165
4 42 90.347086 3.605551
4 27 67.797020 13.000000
5 46 74.477985 16.031220
5 39 75.790676 21.095023
5 34 79.073009 19.697716
5 18 70.264984 19.416488
5 11 68.023961 10.000000
6 28 98.906277 3.162278
6 18 84.066745 6.082763
6 9 77.024846 5.656854
7 47 87.865809 12.041595
7 40 69.528987 4.000000
7 39 65.552339 4.123106
7 32 80.150935 11.000000
7 13 88.267977 2.236068
8 40 93.582867 5.385165
8 35 59.717335 2.828427
8 29 51.106632 5.656854
8 14 92.250013 3.162278
9 48 67.766668 14.142136
9 39 80.029259 12.369317
9 30 74.571242 6.082763
9 16 95.060122 12.041595
10 37 53.676645 12.083046
10 23 72.036446 19.924859
10 16 86.371991 1.000000
11 29 77.336454 5.000000
11 14 87.000895 7.280110
12 47 63.806401 9.055385
12 35 74.698199 12.083046
12 26 86.930921 5.000000
12 20 54.153487 7.280110
13 40 92.495219 2.236068
13 36 61.408906 3.162278
13 35 79.944163 7.211103
14 46 71.568228 1.414214
14 28 81.673890 8.062258
14 27 97.968124 3.605551
14 24 70.474504 3.605551
15 21 65.740634 1.000000
15 17 74.992970 5.830952
16 49 58.340313 7.211103
16 41 85.269622 7.211103
16 19 90.545309 14.035669
17 37 88.491249 4.123106
17 19 73.537599 2.236068
18 49 84.128176 5.830952
18 29 98.208584 8.485281
18 28 74.644231 3.605551
18 25 76.378188 2.236068
19 43 65.975252 17.000000
19 28 54.673490 16.970563
20 49 50.949430 1.000000
20 43 61.035374 4.123106
20 26 58.350135 12.083046
20 22 72.985876 13.453624
21 33 97.407365 6.000000
22 44 85.686589 5.385165
22 29 59.986772 3.162278
22 28 61.213766 4.123106
22 27 60.384789 6.708204
23 35 96.917692 7.071068
24 40 65.367253 4.000000
24 36 52.880008 5.385165
24 34 58.326598 9.055385
24 29 95.311417 10.816654
25 48 74.448235 14.212670
25 40 90.000488 7.211103
25 36 93.279541 5.385165
25 32 94.922740 9.848858
25 28 55.741122 2.000000
26 45 68.272511 17.000000
26 28 53.263053 11.401754
26 27 91.010744 9.055385
27 46 58.817819 4.123106
27 36 91.754302 2.236068
28 44 64.548344 7.211103
28 34 92.945995 5.099020
28 29 89.962886 5.000000
29 39 89.192574 10.000000
29 33 69.324183 11.180340
31 36 55.938138 12.165525
31 34 93.866064 14.317821
32 47 70.273614 1.414214
33 49 66.973512 14.035669
33 38 52.216199 20.615528
33 37 93.259490 3.162278
34 41 64.380877 10.630146
34 39 87.902788 3.000000
35 39 53.246262 12.165525
36 46 75.594643 3.162278
36 45 98.287577 20.248457
36 43 50.163954 17.029386
36 39 90.961897 7.071068
36 38 51.167585 5.099020
38 49 58.490552 17.029386
38 46 86.273313 2.828427
38 44 75.615820 17.804494
38 40 98.491040 4.123106
39 47 79.552854 8.246211
42 48 70.538560 4.472136
42 43 54.232162 26.172505
43 47 97.825365 2.828427
47 49 73.801613 3.162278
