50 141
86 29 92.009386
53 46 69.719146
84 83 89.154961
96 97 89.922002
42 48 95.582368
4 6 59.877568
29 78 66.761138
50 87 88.411480
95 64 63.888736
35 58 77.698498
7 89 73.869853
85 50 81.443546
44 8 68.239224
31 13 75.670046
59 40 97.611486
54 31 95.809753
35 68 81.785586
0 98 85.864846
3 6 57.080128
19 96 80.348444
11 66 50.815029
27 72 62.144339
83 91 56.861579
17 1 90.208838
2 31 57.833954
95 23 70.047220
98 32 56.489522
58 28 55.440440
66 32 99.946226
58 71 60.912845
30 92 75.646620
52 36 91.955612
33 50 80.631992
40 57 64.801581
16 28 81.877613
85 80 76.214360
2 14 74.679149
63 50 98.638751
48 55 64.625839
44 6 88.567885
11 69 76.337249
88 61 88.495692
1 52 70.011431
45 6 94.576473
15 54 64.165737
14 20 67.622917
10 70 90.386226
2 63 95.951324
62 69 53.487764
43 5 97.466354
0 45 76.299768 72.560320
0 41 54.302792 32.062439
0 30 59.610692 84.291162
0 26 83.161346 12.369317
0 11 94.511630 21.023796
1 48 67.444647 24.698178
1 38 53.208566 10.295630
1 33 51.001152 17.029386
1 31 72.885087 10.049876
1 27 53.154792 18.681542
1 26 61.913998 47.127487
1 13 98.531707 39.661064
1 12 95.110404 39.051248
2 43 92.545989 86.313383
2 35 63.333287 3.162278
2 29 76.988017 28.635642
2 26 68.760349 52.886671
2 22 88.012437 8.062258
2 11 75.626768 33.015148
2 8 83.386188 21.954498
3 35 76.580322 20.248457
4 48 51.964017 29.000000
4 40 71.881880 37.443290
4 33 96.591753 9.219544
4 32 96.540490 9.219544
4 31 86.047617 15.620499
4 10 64.214670 53.907328
4 6 86.926716 32.695565
5 34 81.998941 25.059928
5 33 67.702434 62.425956
5 18 84.393070 1.000000
6 40 58.298708 20.124612
6 30 72.005226 14.035669
6 24 94.003762 54.203321
6 21 91.460055 6.324555
6 10 66.516856 24.596748
6 9 61.448409 20.880613
6 7 94.668621 22.847319
7 38 67.518009 32.062439
7 35 84.333495 35.693137
7 20 97.823413 44.294469
8 41 79.432007 7.615773
8 37 82.865202 34.928498
9 46 92.933816 27.730849
9 33 71.977996 5.099020
9 32 96.198489 8.246211
9 31 69.921833 27.802878
9 30 90.738345 34.365681
9 26 84.210926 68.154237
9 18 95.548602 61.057350
9 10 74.124533 41.773197
10 47 60.791248 26.476405
10 43 97.512619 91.285267
10 30 96.006413 23.194827
11 29 57.383001 34.205263
11 28 94.053108 26.172505
11 15 82.054030 36.359318
12 43 71.597671 2.236068
12 13 80.979824 13.928388
13 39 64.052971 14.764823
13 37 89.300105 48.918299
13 31 65.372894 31.144823
13 25 72.351679 64.776539
13 24 61.305331 34.132096
13 21 59.376655 59.135438
13 20 63.811734 56.648036
13 18 77.822188 28.861739
13 15 70.825064 29.206164
14 37 58.480354 10.770330
14 28 95.340197 10.630146
14 27 55.158559 12.041595
14 22 56.303767 56.364883
14 16 74.772203 36.878178
15 48 88.023761 38.832976
15 46 99.237583 58.796258
15 39 96.750199 26.925824
15 38 84.222251 24.738634
15 37 69.159417 21.023796
15 31 87.488544 5.385165
15 27 68.433177 5.000000
15 26 64.708018 44.011362
16 38 61.613077 18.384776
16 35 79.224425 51.419841
16 33 62.220637 12.083046
16 19 57.619490 32.249031
16 17 86.607426 46.097722
17 46 56.273745 29.732137
17 21 89.673519 37.483330
17 19 58.205097 19.104973
18 23 87.253569 14.866069
19 38 53.726490 50.219518
19 33 97.505202 44.294469
19 32 52.626463 48.083261
19 29 76.078169 46.324939
19 21 58.810533 25.298221
20 46 62.003119 4.123106
20 44 89.889903 12.649111
20 40 86.632721 3.000000
20 31 82.828183 50.803543
20 21 98.370257 17.088007
21 48 81.972917 35.128336
21 34 87.986742 45.354162
22 47 54.674024 85.702975
22 35 56.745121 11.180340
22 29 76.010503 32.015621
23 39 53.911607 27.459060
23 36 53.495320 19.849433
23 33 60.232754 60.539243
23 31 73.071024 49.497475
24 40 90.983864 39.051248
24 33 78.665931 46.043458
24 31 87.779042 50.249378
25 33 52.596941 64.660653
28 44 57.890356 55.542776
29 48 99.999679 4.472136
29 41 60.216431 31.622777
30 46 94.497782 29.732137
30 31 56.273424 60.166436
32 47 99.889950 33.615473
32 46 52.702879 30.479501
32 44 93.526993 18.439089
32 43 53.616440 45.607017
32 34 50.208080 27.802878
32 33 96.153456 9.899495
33 45 79.694609 45.221676
33 38 59.018613 8.246211
35 48 58.156575 25.495098
36 47 69.584512 49.000000
37 38 95.651334 15.811388
38 49 90.984758 50.249378
38 48 67.954768 19.798990
39 49 77.624251 1.414214
39 44 78.971500 56.080300
39 43 72.628792 1.000000
40 47 84.369372 10.816654
40 46 54.982003 1.414214
40 42 76.540399 19.723083
41 48 87.864692 27.202941
44 49 65.214757 56.435804
46 49 99.611423 72.897188
48 49 78.848556 66.760767

