12 14 1 16755 733 0 8
18 0 9.436227
42 24 8.364491
32 7 8.073389
34 32 9.580906
2 23 0.869017
41 11 7.170093
11 4 3.968279
12 12 4.599502
38 34 8.939406
41 17 0.558244
39 18 8.274525
42 42 1.871527
0 8 0.193805 48.521727
1 10 8.709294 8.236428
1 3 8.819575 13.640319
1 2 10.306525 20.952333
2 5 12.541724 15.434718
3 11 17.937508 21.735576
3 10 7.384689 19.573977
4 7 18.217709 19.267538
5 9 16.421932 10.078019
6 11 12.465851 84.305109
6 10 10.528398 51.889389
7 9 14.888949 46.536750
8 11 19.564221 11.121569
9 10 2.747397 2.693115
