13 18 0 21542 1754 0 8
30 17 4.868555
1 26 5.201236
16 10 9.799325
22 35 6.176196
33 30 5.193517
8 11 8.793555
21 12 4.850134
47 18 1.937048
30 16 3.463763
17 16 8.614272
21 9 2.246067
17 10 6.648630
2 41 8.571055
0 10 1.424445 17.045189
0 9 19.310641 14.314336
1 12 19.727684 27.438825
1 2 2.584845 34.799362
2 11 8.950331 1.945054
2 9 17.728337 9.096839
2 5 15.432650 9.406134
3 9 18.661462 27.456440
3 4 16.721349 23.033154
4 6 8.527220 30.717753
5 11 0.750964 16.444579
5 9 13.907109 20.032339
5 6 2.788351 19.851775
6 9 7.679776 5.892924
6 7 14.131895 36.396707
8 9 15.591004 16.134226
9 11 6.779075 10.666902
10 11 12.060409 7.195158
