18 25 1 24677 479 0 10
41 8 14.656227
27 17 10.610048
13 27 16.874047
42 11 17.115331
48 2 1.429416
7 5 15.332009
22 5 2.954854
39 14 10.985555
33 41 10.332787
45 39 2.355610
11 40 8.703505
40 26 19.725788
43 2 2.108335
31 24 3.534995
39 48 18.382891
27 1 10.216142
23 33 3.083072
12 39 0.421349
0 15 10.957591 29.885717
0 12 49.420326 10.803766
0 4 6.568010 10.742342
0 3 45.588971 4.961435
1 13 29.561937 14.737145
1 5 28.197792 31.458266
1 4 4.078670 45.052535
2 17 29.472632 13.179023
2 10 8.296453 25.481728
2 8 4.254132 33.105475
2 4 43.634623 73.773835
3 7 7.519104 5.103316
4 12 15.413996 9.294909
4 8 38.906322 55.454422
6 15 24.064272 11.647840
6 13 36.420774 37.825885
7 16 25.370968 42.237985
8 16 43.280395 21.986049
8 13 14.288274 28.051388
8 11 23.334871 29.420995
9 14 6.307467 20.302905
9 11 31.137725 14.355339
10 17 6.255576 1.707978
10 16 7.253133 16.840520
11 13 28.413012 11.902806
