15 18 1 40669 417 0 10
12 17 6.994187
10 2 4.937383
32 25 3.193212
1 32 10.095644
1 2 19.203675
23 20 8.840475
9 13 0.779931
31 1 6.472552
26 24 18.257653
37 29 16.956776
2 14 3.674287
22 20 14.749000
5 21 2.582355
34 28 16.879561
41 20 8.632547
0 13 46.032203 44.069884
0 5 15.485971 14.109140
1 11 17.413024 29.933964
1 8 8.377242 45.322615
1 4 41.095389 13.786977
2 14 9.443149 16.061371
2 13 35.479217 6.020650
2 9 21.569144 12.732659
3 12 11.768817 12.398715
5 12 28.203795 28.682945
5 8 1.653363 5.977800
6 12 25.959385 14.338316
6 11 22.545563 28.731606
6 10 34.169994 12.041336
7 11 27.344003 33.218207
8 11 18.586229 6.307546
9 13 17.624030 4.640719
12 13 42.561105 50.162296
