14 15 0 9508 567 0 10
8 35 5.820419
27 6 1.124138
3 29 11.125020
34 23 19.510815
13 10 12.691580
19 38 6.368504
20 30 9.228867
17 32 14.920229
46 45 5.398981
28 24 11.251993
6 32 4.691517
31 8 3.018374
36 23 6.337681
17 29 18.125218
0 2 2.186985 12.489034
1 11 0.743726 6.492363
2 10 16.897066 5.327807
2 5 3.172785 31.853067
2 4 39.074707 22.766603
3 11 35.976085 17.090127
3 9 43.762543 7.056512
4 11 40.761874 26.375628
5 7 37.368569 7.771354
6 11 39.250496 46.031446
6 10 25.301169 24.365657
6 9 9.217773 11.034351
7 8 18.669208 39.790290
11 13 24.330534 44.091154
12 13 3.191958 30.371519
