16 20 0 43478 273 0 15
3 9 7.542844
40 23 4.808353
6 47 0.333914
15 15 8.167114
28 26 12.077234
19 26 16.910090
15 38 9.213814
31 15 6.439436
14 48 14.582793
38 11 1.845774
23 13 7.907455
5 15 9.960668
30 39 7.608909
15 33 6.908371
1 33 14.346918
4 4 17.545331
0 3 19.460864 22.058611
1 15 31.933409 72.019566
2 8 38.091303 14.310014
2 5 38.152674 38.534820
3 7 49.597731 31.293325
3 6 33.893827 26.013591
4 10 5.013328 23.630766
4 7 3.686616 21.137029
4 6 43.526788 23.719125
5 13 47.227296 11.948976
6 14 47.138935 25.510773
6 13 22.258996 6.332589
7 13 33.094524 24.927723
8 11 20.775641 66.468123
9 12 33.027961 29.333281
11 15 32.573041 14.279215
11 14 3.101476 19.356922
11 13 41.235766 26.565382
12 15 42.517912 79.520940
12 13 38.984419 25.651190
