10 16 0 44855 1053 0 15
13 31 14.368580
30 28 2.379049
22 23 0.732402
35 16 14.108002
0 19 10.313314
8 0 1.965213
23 35 3.119383
21 8 9.871483
29 14 12.636774
29 32 9.620069
0 9 27.082330 23.951910
0 2 39.734539 13.257975
1 9 24.177869 6.391580
1 8 14.555302 26.528599
1 6 42.743654 17.282166
2 8 35.290537 17.211671
2 7 37.559036 28.613186
2 6 34.439169 19.062723
3 8 44.046917 11.219088
3 6 5.817922 26.750396
4 9 45.440299 42.764722
5 8 19.112397 31.177837
5 7 37.548830 24.639786
6 9 38.508761 9.931554
7 9 5.617364 31.484920
7 8 36.931491 12.511787
