19 20 0 7745 1314 0 15
9 29 6.732563
1 5 13.114534
4 16 5.892717
29 49 17.641970
43 37 10.757002
14 32 7.828235
11 15 11.701683
35 23 9.408418
18 13 12.851063
14 20 7.146163
41 21 14.536975
36 19 4.484250
49 25 17.766351
20 11 17.595117
36 25 18.705718
44 20 6.988592
49 12 9.974985
26 5 2.133151
29 39 17.207713
0 11 34.273922 54.877443
1 9 39.573098 22.575957
1 3 40.450511 81.031511
2 15 43.298801 57.559732
2 8 1.481508 15.894968
2 5 33.164600 20.905362
3 5 38.185433 30.975218
4 14 12.417840 27.200403
6 13 17.466978 12.818867
6 8 38.598983 13.347651
7 16 9.537454 35.464641
7 11 10.805259 6.179828
10 18 18.929213 23.343780
10 17 21.424810 25.251978
10 15 12.902432 5.936650
10 12 39.165294 11.528110
11 14 21.312108 11.661162
12 15 24.861769 11.135290
12 14 0.330984 16.058281
13 16 17.270254 39.556627
