17 22 0 14125 331 0 15
31 19 11.966692
24 47 9.508458
8 34 19.729379
22 32 13.019783
7 13 5.593951
16 49 18.689901
30 2 3.706817
34 18 17.025976
33 45 16.716112
41 0 17.521760
11 30 5.266617
19 29 8.691410
33 27 13.368792
29 22 16.015307
34 37 18.534189
38 11 17.438807
6 23 19.551187
0 13 9.556472 6.905506
0 7 24.374571 3.648431
0 3 25.376783 31.540547
1 8 31.527685 16.554181
1 3 8.684417 21.039352
2 13 47.909970 36.153301
2 4 10.350622 22.501300
3 14 27.285031 20.234942
4 15 10.376157 37.074842
4 11 6.398822 36.507964
4 10 33.834849 24.325324
5 16 13.447601 54.704638
5 15 19.917627 85.184676
6 10 37.039659 65.557165
7 13 40.466600 8.484537
7 11 12.015233 31.963204
9 12 43.604392 28.173250
10 16 49.763041 14.863064
10 11 26.167458 11.122880
11 16 38.497151 23.278121
12 15 6.028476 28.447532
12 14 38.365760 17.367616
