48 126 1 2800 1108 0 15
24 19 0.120755
49 62 11.299361
44 72 6.164479
12 89 21.677215
56 97 12.325175
86 13 17.275465
44 6 20.367752
14 34 9.227092
38 1 2.600207
71 17 9.406521
94 69 8.349928
45 57 13.087044
43 19 15.331679
34 21 12.494007
20 96 23.250893
82 55 4.671811
93 84 9.842149
18 15 23.578101
84 16 0.764357
48 92 1.151250
32 68 11.536780
32 87 16.419816
24 4 0.790005
82 89 22.029079
36 59 5.729866
43 75 24.039976
50 80 10.756328
29 68 18.606350
56 56 23.138064
32 36 24.861681
69 35 2.187313
6 82 23.258819
62 30 11.161042
42 32 8.351792
2 3 19.936034
98 92 23.486217
99 45 0.627257
46 16 15.303785
10 13 7.713309
24 56 3.227464
11 93 24.710307
78 8 16.063237
51 77 16.314508
31 74 15.041985
83 56 3.557244
71 12 14.565401
52 59 19.713796
84 97 13.399393
0 22 73.721352 22.886101
0 17 88.849014 11.408150
0 12 55.226331 28.042457
0 11 63.460207 81.118440
1 46 26.876480 6.683113
1 30 45.067274 48.699607
1 24 48.317392 17.252036
1 11 66.558282 9.163513
1 2 20.568743 20.917651
2 44 80.641967 70.776742
2 43 88.876577 24.210537
2 33 74.619475 41.056041
2 25 60.993065 5.154661
2 11 69.510308 21.509410
3 31 19.740289 11.619546
3 11 70.745114 60.139697
4 44 80.130439 50.979951
4 42 46.294331 36.556858
4 27 57.747827 59.591909
4 23 7.127016 33.173847
5 41 60.197604 18.304471
5 36 21.002839 54.570743
5 23 0.993312 91.761715
5 9 6.898837 30.627665
5 6 58.669785 52.780427
6 33 7.224425 51.441086
6 32 89.801641 49.182121
6 29 24.250592 61.693848
6 24 30.614521 89.807250
6 22 84.223213 20.939675
7 38 31.509024 33.338257
7 30 53.816451 94.718519
7 29 44.562456 22.465296
7 22 66.996233 35.175343
8 46 29.865320 67.826870
8 45 6.934590 63.433735
8 41 36.317539 40.636272
8 29 18.577919 46.533604
8 28 25.498551 81.861648
8 17 58.872905 31.323854
9 36 23.017560 76.630158
9 30 51.714698 31.411587
9 26 57.941229 83.245315
9 24 83.613906 100.817916
9 18 79.726189 25.867579
9 11 48.910560 88.967551
9 10 52.805447 70.275288
10 47 42.874677 33.936596
10 23 22.837793 25.233225
11 46 19.678185 8.887470
11 44 3.994159 60.273285
11 43 52.766036 28.534778
11 39 54.550205 30.440517
11 28 77.622548 19.801136
12 46 6.820711 77.466655
12 45 74.217091 43.772180
12 41 22.592782 48.851236
12 33 52.657471 18.243885
12 25 21.897078 106.110051
12 20 79.089761 76.038699
12 16 34.108497 92.596973
12 13 32.858481 13.112274
13 30 50.727332 74.099725
13 29 4.281846 27.866642
13 27 5.604068 85.899331
14 42 36.268237 46.038989
14 40 50.572807 10.498575
14 30 49.909925 155.646849
15 44 70.378229 1.651849
15 23 5.171767 48.178934
15 21 84.027925 110.283099
17 38 17.037211 15.520181
17 30 25.320647 64.898110
17 29 7.154718 44.783462
17 25 25.966061 99.101690
17 22 58.840993 24.537078
17 20 34.244799 91.408546
18 45 56.988501 13.858308
18 41 77.432631 19.441348
18 33 68.537256 75.541739
19 43 85.230379 47.602082
19 20 2.634926 33.589474
20 43 13.839767 9.178428
20 42 60.926198 33.298154
20 40 0.077323 63.201750
20 36 71.416936 122.862701
20 28 55.486823 51.908156
20 27 10.725956 5.948472
20 21 68.148830 36.059355
21 46 38.025195 41.245540
21 32 14.125153 67.357747
21 30 64.189448 68.688954
22 34 8.565661 33.858690
24 39 43.342084 16.654316
25 46 2.448297 35.898880
25 43 79.034992 14.968952
25 42 36.684832 16.279732
25 39 43.481862 51.253118
25 34 44.214768 129.368969
25 29 44.742595 47.008684
25 28 80.506024 34.351512
26 44 38.397340 52.664681
26 42 24.613678 4.778302
26 35 36.800317 76.482673
27 46 67.003971 25.456277
27 28 6.877399 54.111434
28 46 81.691699 9.507174
28 42 39.499077 38.632838
28 41 12.244797 52.952504
29 47 86.255653 153.936367
29 42 14.720501 52.565814
29 37 12.371771 44.836210
29 31 66.960563 83.019667
30 44 11.929932 40.901992
30 42 70.261693 56.445740
30 32 65.467423 14.019164
31 34 82.832058 132.510083
32 45 16.760564 23.224867
32 38 62.988060 65.313061
32 36 20.208245 63.685090
33 37 38.386393 23.820928
35 47 31.121156 19.340036
35 43 8.152492 92.561248
39 43 30.335453 34.467688
41 45 63.461395 9.889460
42 44 35.090385 49.584019
