18 22 1 6300 2836 0 15
12 78 13.456012
14 27 5.630065
68 56 1.832818
56 30 14.175273
38 4 13.245921
72 74 13.962520
49 59 6.142029
45 62 6.613547
60 6 5.655979
71 18 10.082483
40 43 23.538651
75 69 19.484504
85 85 0.248592
99 51 5.301458
8 61 11.670213
70 85 14.426241
98 27 19.096227
41 40 1.705944
0 14 55.547564 19.738529
1 15 66.211061 81.007028
1 10 26.886682 42.142072
1 3 20.201261 83.350211
2 17 48.998609 53.962671
2 7 80.794657 34.954824
3 17 0.792087 25.692677
3 15 44.863745 63.730097
3 8 58.748208 38.341158
3 6 73.934374 31.532949
3 4 25.490340 60.630342
5 15 77.296123 13.693595
5 14 21.126246 69.395586
6 14 47.647321 43.959277
6 12 75.127789 80.456343
7 14 84.780952 59.134725
7 9 54.217885 74.205784
8 17 74.912204 65.343781
8 9 59.145712 30.948673
9 13 55.849996 45.737074
10 11 47.463908 52.390467
14 16 56.409919 146.070262
